NVIDIA_GeForce_RTX_3090
Final results:	16	4096	4096	2	1	54	614	614
Final results:	16	4096	4096	2	0.9	54	620	558
Final results:	16	4096	4096	2	0.8	54	619	495
Final results:	16	4096	4096	2	0.7	54	613	429
Final results:	16	4096	4096	2	0.6	54	614	368
Final results:	16	4096	4096	2	0.5	54	616	308
Final results:	16	4096	4096	2	0.4	54	613	245
Final results:	16	4096	4096	2	0.3	54	617	185
Final results:	16	4096	4096	2	0.2	54	617	123
Final results:	16	4096	4096	2	0.1	54	618	61
Final results:	16	4096	4096	2	0.05	54	616	30
Final results:	16	4096	4096	3	1	712	47	47
Final results:	16	4096	4096	3	0.9	572	58	52
Final results:	16	4096	4096	3	0.8	458	73	58
Final results:	16	4096	4096	3	0.7	360	93	65
Final results:	16	4096	4096	3	0.6	269	124	74
Final results:	16	4096	4096	3	0.5	192	174	87
Final results:	16	4096	4096	3	0.4	132	253	101
Final results:	16	4096	4096	3	0.3	83	402	120
Final results:	16	4096	4096	3	0.2	46	715	143
Final results:	16	4096	4096	3	0.1	31	1078	107
Final results:	16	4096	4096	3	0.05	24	1369	68
Final results:	16	4096	4096	7	1	69	485	485
Final results:	16	4096	4096	7	0.9	64	519	467
Final results:	16	4096	4096	7	0.8	55	600	480
Final results:	16	4096	4096	7	0.7	51	652	456
Final results:	16	4096	4096	7	0.6	47	710	426
Final results:	16	4096	4096	7	0.5	41	800	400
Final results:	16	4096	4096	7	0.4	36	928	371
Final results:	16	4096	4096	7	0.3	29	1141	342
Final results:	16	4096	4096	7	0.2	24	1351	270
Final results:	16	4096	4096	7	0.1	19	1703	170
Final results:	16	4096	4096	7	0.05	17	1937	96
Final results:	16	8192	8192	2	1	172	779	779
Final results:	16	8192	8192	2	0.9	171	781	703
Final results:	16	8192	8192	2	0.8	171	781	624
Final results:	16	8192	8192	2	0.7	172	778	545
Final results:	16	8192	8192	2	0.6	172	778	466
Final results:	16	8192	8192	2	0.5	171	780	390
Final results:	16	8192	8192	2	0.4	172	777	311
Final results:	16	8192	8192	2	0.3	175	765	229
Final results:	16	8192	8192	2	0.2	172	778	155
Final results:	16	8192	8192	2	0.1	171	781	78
Final results:	16	8192	8192	2	0.05	171	780	39
Final results:	16	8192	8192	3	1	8610	15	15
Final results:	16	8192	8192	3	0.9	6872	19	17
Final results:	16	8192	8192	3	0.8	5236	25	20
Final results:	16	8192	8192	3	0.7	3587	37	26
Final results:	16	8192	8192	3	0.6	2110	63	38
Final results:	16	8192	8192	3	0.5	1399	95	47
Final results:	16	8192	8192	3	0.4	899	149	59
Final results:	16	8192	8192	3	0.3	520	257	77
Final results:	16	8192	8192	3	0.2	267	501	100
Final results:	16	8192	8192	3	0.1	80	1658	165
Final results:	16	8192	8192	3	0.05	43	3067	153
Final results:	16	8192	8192	7	1	246	544	544
Final results:	16	8192	8192	7	0.9	224	596	537
Final results:	16	8192	8192	7	0.8	204	657	525
Final results:	16	8192	8192	7	0.7	181	741	518
Final results:	16	8192	8192	7	0.6	159	841	505
Final results:	16	8192	8192	7	0.5	132	1011	505
Final results:	16	8192	8192	7	0.4	110	1215	486
Final results:	16	8192	8192	7	0.3	87	1538	461
Final results:	16	8192	8192	7	0.2	65	2050	410
Final results:	16	8192	8192	7	0.1	45	2922	292
Final results:	16	8192	8192	7	0.05	37	3605	180
Final results:	16	8192	29568	2	1	583	829	829
Final results:	16	8192	29568	2	0.9	582	832	749
Final results:	16	8192	29568	2	0.8	583	830	664
Final results:	16	8192	29568	2	0.7	583	830	581
Final results:	16	8192	29568	2	0.6	581	833	500
Final results:	16	8192	29568	2	0.5	581	833	416
Final results:	16	8192	29568	2	0.4	580	834	333
Final results:	16	8192	29568	2	0.3	582	832	249
Final results:	16	8192	29568	2	0.2	581	832	166
Final results:	16	8192	29568	2	0.1	580	834	83
Final results:	16	8192	29568	2	0.05	578	836	41
Final results:	16	8192	29568	3	1	114935	4	4
Final results:	16	8192	29568	3	0.9	94128	5	4
Final results:	16	8192	29568	3	0.8	75270	6	5
Final results:	16	8192	29568	3	0.7	57498	8	5
Final results:	16	8192	29568	3	0.6	42346	11	6
Final results:	16	8192	29568	3	0.5	29416	16	8
Final results:	16	8192	29568	3	0.4	18732	25	10
Final results:	16	8192	29568	3	0.3	10412	46	13
Final results:	16	8192	29568	3	0.2	4146	116	23
Final results:	16	8192	29568	3	0.1	779	621	62
Final results:	16	8192	29568	3	0.05	229	2107	105
Final results:	16	8192	29568	7	1	853	567	567
Final results:	16	8192	29568	7	0.9	768	630	567
Final results:	16	8192	29568	7	0.8	685	707	565
Final results:	16	8192	29568	7	0.7	605	799	559
Final results:	16	8192	29568	7	0.6	523	924	554
Final results:	16	8192	29568	7	0.5	440	1099	549
Final results:	16	8192	29568	7	0.4	355	1363	545
Final results:	16	8192	29568	7	0.3	272	1776	532
Final results:	16	8192	29568	7	0.2	191	2530	506
Final results:	16	8192	29568	7	0.1	127	3804	380
Final results:	16	8192	29568	7	0.05	104	4622	231
Final results:	16	32000	5120	2	1	434	753	753
Final results:	16	32000	5120	2	0.9	436	750	675
Final results:	16	32000	5120	2	0.8	434	754	603
Final results:	16	32000	5120	2	0.7	436	751	525
Final results:	16	32000	5120	2	0.6	435	752	451
Final results:	16	32000	5120	2	0.5	434	753	376
Final results:	16	32000	5120	2	0.4	436	750	300
Final results:	16	32000	5120	2	0.3	434	753	226
Final results:	16	32000	5120	2	0.2	432	757	151
Final results:	16	32000	5120	2	0.1	435	752	75
Final results:	16	32000	5120	2	0.05	434	754	37
Final results:	16	32000	5120	3	1	8882	36	36
Final results:	16	32000	5120	3	0.9	6874	47	42
Final results:	16	32000	5120	3	0.8	5379	60	48
Final results:	16	32000	5120	3	0.7	4089	80	56
Final results:	16	32000	5120	3	0.6	3050	107	64
Final results:	16	32000	5120	3	0.5	2130	153	76
Final results:	16	32000	5120	3	0.4	1372	238	95
Final results:	16	32000	5120	3	0.3	819	399	119
Final results:	16	32000	5120	3	0.2	383	854	170
Final results:	16	32000	5120	3	0.1	142	2296	229
Final results:	16	32000	5120	3	0.05	81	4015	200
Final results:	16	32000	5120	7	1	504	649	649
Final results:	16	32000	5120	7	0.9	482	679	611
Final results:	16	32000	5120	7	0.8	433	755	604
Final results:	16	32000	5120	7	0.7	382	856	599
Final results:	16	32000	5120	7	0.6	334	979	587
Final results:	16	32000	5120	7	0.5	282	1158	579
Final results:	16	32000	5120	7	0.4	233	1404	561
Final results:	16	32000	5120	7	0.3	182	1792	537
Final results:	16	32000	5120	7	0.2	134	2427	485
Final results:	16	32000	5120	7	0.1	94	3456	345
Final results:	16	32000	5120	7	0.05	76	4298	214
Final results:	16	32000	8192	2	1	647	810	810
Final results:	16	32000	8192	2	0.9	646	811	730
Final results:	16	32000	8192	2	0.8	646	810	648
Final results:	16	32000	8192	2	0.7	645	812	568
Final results:	16	32000	8192	2	0.6	645	811	486
Final results:	16	32000	8192	2	0.5	646	811	405
Final results:	16	32000	8192	2	0.4	645	812	324
Final results:	16	32000	8192	2	0.3	645	812	243
Final results:	16	32000	8192	2	0.2	644	813	162
Final results:	16	32000	8192	2	0.1	643	815	81
Final results:	16	32000	8192	2	0.05	647	810	40
Final results:	16	32000	8192	3	1	33817	15	15
Final results:	16	32000	8192	3	0.9	26905	19	17
Final results:	16	32000	8192	3	0.8	20352	25	20
Final results:	16	32000	8192	3	0.7	13902	37	26
Final results:	16	32000	8192	3	0.6	8169	64	38
Final results:	16	32000	8192	3	0.5	5392	97	48
Final results:	16	32000	8192	3	0.4	3461	151	60
Final results:	16	32000	8192	3	0.3	1979	264	79
Final results:	16	32000	8192	3	0.2	914	573	114
Final results:	16	32000	8192	3	0.1	266	1970	197
Final results:	16	32000	8192	3	0.05	119	4387	219
Final results:	16	32000	8192	7	1	801	654	654
Final results:	16	32000	8192	7	0.9	743	705	634
Final results:	16	32000	8192	7	0.8	668	784	627
Final results:	16	32000	8192	7	0.7	591	886	620
Final results:	16	32000	8192	7	0.6	511	1024	614
Final results:	16	32000	8192	7	0.5	435	1205	602
Final results:	16	32000	8192	7	0.4	354	1479	591
Final results:	16	32000	8192	7	0.3	275	1899	569
Final results:	16	32000	8192	7	0.2	199	2622	524
Final results:	16	32000	8192	7	0.1	129	4056	405
Final results:	16	32000	8192	7	0.05	103	5072	253
Final results:	16	28672	8192	2	1	573	818	818
Final results:	16	28672	8192	2	0.9	575	816	735
Final results:	16	28672	8192	2	0.8	574	817	654
Final results:	16	28672	8192	2	0.7	574	817	572
Final results:	16	28672	8192	2	0.6	572	820	492
Final results:	16	28672	8192	2	0.5	573	819	409
Final results:	16	28672	8192	2	0.4	571	822	328
Final results:	16	28672	8192	2	0.3	572	820	246
Final results:	16	28672	8192	2	0.2	571	822	164
Final results:	16	28672	8192	2	0.1	572	821	82
Final results:	16	28672	8192	2	0.05	572	821	41
Final results:	16	28672	8192	3	1	30319	15	15
Final results:	16	28672	8192	3	0.9	24119	19	17
Final results:	16	28672	8192	3	0.8	18253	25	20
Final results:	16	28672	8192	3	0.7	12470	37	26
Final results:	16	28672	8192	3	0.6	7330	64	38
Final results:	16	28672	8192	3	0.5	4845	96	48
Final results:	16	28672	8192	3	0.4	3111	150	60
Final results:	16	28672	8192	3	0.3	1781	263	79
Final results:	16	28672	8192	3	0.2	832	564	112
Final results:	16	28672	8192	3	0.1	243	1927	192
Final results:	16	28672	8192	3	0.05	112	4161	208
Final results:	16	28672	8192	7	1	701	669	669
Final results:	16	28672	8192	7	0.9	635	738	664
Final results:	16	28672	8192	7	0.8	573	819	655
Final results:	16	28672	8192	7	0.7	508	923	646
Final results:	16	28672	8192	7	0.6	441	1064	638
Final results:	16	28672	8192	7	0.5	373	1257	628
Final results:	16	28672	8192	7	0.4	304	1541	616
Final results:	16	28672	8192	7	0.3	239	1957	587
Final results:	16	28672	8192	7	0.2	172	2716	543
Final results:	16	28672	8192	7	0.1	114	4096	409
Final results:	16	28672	8192	7	0.05	92	5092	254
Final results:	16	5120	5120	2	1	75	695	695
Final results:	16	5120	5120	2	0.9	77	678	610
Final results:	16	5120	5120	2	0.8	76	681	545
Final results:	16	5120	5120	2	0.7	77	679	475
Final results:	16	5120	5120	2	0.6	77	680	408
Final results:	16	5120	5120	2	0.5	77	680	340
Final results:	16	5120	5120	2	0.4	76	682	273
Final results:	16	5120	5120	2	0.3	76	685	205
Final results:	16	5120	5120	2	0.2	77	675	135
Final results:	16	5120	5120	2	0.1	75	689	68
Final results:	16	5120	5120	2	0.05	75	691	34
Final results:	16	5120	5120	3	1	1464	35	35
Final results:	16	5120	5120	3	0.9	1136	46	41
Final results:	16	5120	5120	3	0.8	890	58	47
Final results:	16	5120	5120	3	0.7	688	76	53
Final results:	16	5120	5120	3	0.6	519	100	60
Final results:	16	5120	5120	3	0.5	363	144	72
Final results:	16	5120	5120	3	0.4	254	206	82
Final results:	16	5120	5120	3	0.3	144	362	108
Final results:	16	5120	5120	3	0.2	78	668	133
Final results:	16	5120	5120	3	0.1	36	1435	143
Final results:	16	5120	5120	3	0.05	27	1902	95
Final results:	16	5120	5120	7	1	88	589	589
Final results:	16	5120	5120	7	0.9	80	648	583
Final results:	16	5120	5120	7	0.8	74	702	561
Final results:	16	5120	5120	7	0.7	66	792	555
Final results:	16	5120	5120	7	0.6	59	881	528
