NVIDIA_GeForce_RTX_2080_SUPER
Final results:	16	32000	5120	3	1	6268	52	52
Final results:	16	32000	5120	3	0.9	5337	61	55
Final results:	16	32000	5120	3	0.8	4067	80	64
Final results:	16	32000	5120	3	0.7	3058	107	74
Final results:	16	32000	5120	3	0.6	2222	147	88
Final results:	16	32000	5120	3	0.5	1616	202	101
Final results:	16	32000	5120	3	0.4	1128	290	116
Final results:	16	32000	5120	3	0.3	730	448	134
Final results:	16	32000	5120	3	0.2	456	717	143
Final results:	16	32000	5120	3	0.1	254	1285	128
Final results:	16	32000	5120	3	0.05	144	2263	113
Final results:	16	32000	5120	7	1	904	362	362
Final results:	16	32000	5120	7	0.9	855	382	344
Final results:	16	32000	5120	7	0.8	764	428	342
Final results:	16	32000	5120	7	0.7	679	482	337
Final results:	16	32000	5120	7	0.6	591	553	332
Final results:	16	32000	5120	7	0.5	501	653	326
Final results:	16	32000	5120	7	0.4	420	779	311
Final results:	16	32000	5120	7	0.3	346	945	283
Final results:	16	32000	5120	7	0.2	276	1185	237
Final results:	16	32000	5120	7	0.1	219	1495	149
Final results:	16	32000	5120	7	0.05	173	1888	94
Final results:	16	32000	8192	2	1	1200	436	436
Final results:	16	32000	8192	2	0.9	1200	436	393
Final results:	16	32000	8192	2	0.8	1200	436	349
Final results:	16	32000	8192	2	0.7	1200	436	305
Final results:	16	32000	8192	2	0.6	1200	436	262
Final results:	16	32000	8192	2	0.5	1200	436	218
Final results:	16	32000	8192	2	0.4	1200	436	174
Final results:	16	32000	8192	2	0.3	1200	436	131
Final results:	16	32000	8192	2	0.2	1200	436	87
Final results:	16	32000	8192	2	0.1	1200	436	43
Final results:	16	32000	8192	2	0.05	1198	437	21
Final results:	16	32000	8192	3	1	16461	31	31
Final results:	16	32000	8192	3	0.9	14101	37	33
Final results:	16	32000	8192	3	0.8	11232	46	37
Final results:	16	32000	8192	3	0.7	8582	61	42
Final results:	16	32000	8192	3	0.6	6242	83	50
Final results:	16	32000	8192	3	0.5	4143	126	63
Final results:	16	32000	8192	3	0.4	2587	202	81
Final results:	16	32000	8192	3	0.3	1572	333	100
Final results:	16	32000	8192	3	0.2	848	618	123
Final results:	16	32000	8192	3	0.1	392	1335	133
Final results:	16	32000	8192	3	0.05	229	2287	114
Final results:	16	32000	8192	7	1	1428	367	367
Final results:	16	32000	8192	7	0.9	1336	392	353
Final results:	16	32000	8192	7	0.8	1188	441	352
Final results:	16	32000	8192	7	0.7	1054	497	348
Final results:	16	32000	8192	7	0.6	915	572	343
Final results:	16	32000	8192	7	0.5	771	679	339
Final results:	16	32000	8192	7	0.4	630	831	332
Final results:	16	32000	8192	7	0.3	525	998	299
Final results:	16	32000	8192	7	0.2	412	1271	254
Final results:	16	32000	8192	7	0.1	325	1611	161
Final results:	16	32000	8192	7	0.05	257	2039	101
Final results:	16	28672	8192	2	1	1081	434	434
Final results:	16	28672	8192	2	0.9	1081	434	390
Final results:	16	28672	8192	2	0.8	1081	434	347
Final results:	16	28672	8192	2	0.7	1081	434	304
Final results:	16	28672	8192	2	0.6	1081	434	260
Final results:	16	28672	8192	2	0.5	1081	434	217
Final results:	16	28672	8192	2	0.4	1081	434	173
Final results:	16	28672	8192	2	0.3	1081	434	130
Final results:	16	28672	8192	2	0.2	1081	434	86
Final results:	16	28672	8192	2	0.1	1081	434	43
Final results:	16	28672	8192	2	0.05	1081	434	21
Final results:	16	28672	8192	3	1	14759	31	31
Final results:	16	28672	8192	3	0.9	12639	37	33
Final results:	16	28672	8192	3	0.8	10071	46	37
Final results:	16	28672	8192	3	0.7	7705	60	42
Final results:	16	28672	8192	3	0.6	5615	83	50
Final results:	16	28672	8192	3	0.5	3727	126	63
Final results:	16	28672	8192	3	0.4	2322	202	80
Final results:	16	28672	8192	3	0.3	1413	332	99
Final results:	16	28672	8192	3	0.2	764	614	122
Final results:	16	28672	8192	3	0.1	350	1339	133
Final results:	16	28672	8192	3	0.05	206	2270	113
Final results:	16	28672	8192	7	1	1283	366	366
Final results:	16	28672	8192	7	0.9	1199	391	352
Final results:	16	28672	8192	7	0.8	1069	439	351
Final results:	16	28672	8192	7	0.7	952	493	345
Final results:	16	28672	8192	7	0.6	826	568	341
Final results:	16	28672	8192	7	0.5	696	674	337
Final results:	16	28672	8192	7	0.4	565	831	332
Final results:	16	28672	8192	7	0.3	469	999	299
Final results:	16	28672	8192	7	0.2	371	1264	252
Final results:	16	28672	8192	7	0.1	292	1606	160
Final results:	16	28672	8192	7	0.05	232	2022	101
Final results:	16	5120	5120	2	1	132	395	395
Final results:	16	5120	5120	2	0.9	132	395	355
Final results:	16	5120	5120	2	0.8	132	396	316
Final results:	16	5120	5120	2	0.7	132	396	277
Final results:	16	5120	5120	2	0.6	132	396	237
Final results:	16	5120	5120	2	0.5	132	395	197
Final results:	16	5120	5120	2	0.4	132	395	158
Final results:	16	5120	5120	2	0.3	132	395	118
Final results:	16	5120	5120	2	0.2	132	396	79
Final results:	16	5120	5120	2	0.1	132	395	39
Final results:	16	5120	5120	2	0.05	132	395	19
Final results:	16	5120	5120	3	1	1017	51	51
Final results:	16	5120	5120	3	0.9	866	60	54
