Method,Perplexity,Effective density,Density
Dense,2.59,1,1
Wanda 2:4,8.16,0.5625,0.5
Wanda unstructured,8.58,0.501,0.4
Wanda unstructured,8.13,0.513,0.41
Wanda unstructured,7.7,0.526,0.42
Wanda unstructured,7.17,0.537,0.43
Wanda unstructured,6.74,0.55,0.44
Wanda unstructured,6.43,0.563,0.45
Wanda unstructured,6.13,0.575,0.46
Wanda unstructured,5.92,0.588,0.47
Wanda unstructured,5.73,0.6,0.48
Wanda unstructured,5.55,0.613,0.49
Wanda unstructured,5.28,0.625,0.5
